Название,Активность,ID,Внешний код,Основное изображение (новый),Основное изображение
Стабилизатор переменного напряжения (для кислородного концентратора LF-H-10A),Да,40897,72db87c7-b73e-11e4-9424-b8ca3aeddcd6,https://www.armed.ru/images/catalog/FOTO mini/white/1/kislorod/Stabilizator/Стабилизатор SUNTEK 2000BA.jpg,https://www.armed.ru/images/catalog/FOTO mini/white/1/kislorod/Stabilizator/Стабилизатор SUNTEK 2000BA.jpg
Заглушка торцевая пластиковая к сегменту ложа 540мм,Да,40725,bb3d0558-97bc-11e3-9406-b8ca3aeddcd3,,https://www.armed.ru/images/catalog/zapchasti/Медицинская мебель и сопутствующие товары/Кровати механические/RS105-B/заглушка 540 мм.jpg
Заглушка торцевая пластиковая к сегменту ложа 355мм,Да,40726,df516362-97bc-11e3-9406-b8ca3aeddcd3,,https://www.armed.ru/images/catalog/zapchasti/Медицинская мебель и сопутствующие товары/Кровати механические/RS105-B/заглушка 355.jpg
Заглушка торцевая пластиковая к сегменту ложа 170мм,Да,40727,e611edd6-97bc-11e3-9406-b8ca3aeddcd3,,https://www.armed.ru/images/catalog/zapchasti/Медицинская мебель и сопутствующие товары/Кровати механические/RS105-B/заглушка торцевая пластиковая к сегинту ложа 170 мм.jpg
"Средство реабилитации инвалидов: костыли ""Armed"" FS933L (с УПС)",Да,40736,044cc6ed-97fa-11e3-9406-b8ca3aeddcd3,https://www.armed.ru/images/catalog/FOTO mini/white/3/kostuli/FS933L s YPS/FS933L с УПС_DSCF7919.jpg,https://www.armed.ru/images/catalog/FOTO mini/white/3/kostuli/FS933L s YPS/FS933L с УПС_DSCF7919.jpg
Колесо B6 (переднее с вилкой FS 209AE),Да,40738,4f3847b8-a428-11e3-9406-b8ca3aeddcd3,,
Комплект меммбран к блоку клапанов к концентратору кислорода LF-H-10А,Да,40746,e93bb1ae-b0c1-11e3-9408-b8ca3aeddcd4,,
"Банка к отсасывателю ""Armed"" 2,5л, (7A-23B, 7A-23D) стекло",Да,40749,19c68752-b335-11e3-9408-b8ca3aeddcd4,"https://www.armed.ru/images/catalog/FOTO mini/white/1/hirurgiya/Otsasuvatel/banka 2,5 l/2-5.jpg","https://www.armed.ru/images/catalog/FOTO mini/white/1/hirurgiya/Otsasuvatel/banka 2,5 l/2-5.jpg"
Вакуумметр на отсасыватель 7Е,Да,40751,69a0c5b5-b336-11e3-9408-b8ca3aeddcd4,,https://www.armed.ru/images/catalog/zapchasti/otsasyvateli/7E-D/вакууметр-7E-D.jpg
Коммуникационное устройство управления: плата управления для рециркулятора СН***,Да,40752,d9ec42e8-b33b-11e3-9408-b8ca3aeddcd4,,https://www.armed.ru/images/catalog/zapchasti/рециркулятор/СН111-115/плата управления для СН1-15Р.jpg
Баласт для рециркулятора 211-130п,Да,40753,2e3a84eb-b33f-11e3-9408-b8ca3aeddcd4,,
"Амортизатор компрессора к концентратору кислорода 7F-3, 7F-3L",Да,40757,007fda31-b357-11e3-9408-b8ca3aeddcd4,,https://www.armed.ru/images/catalog/zapchasti/konzentratory/7F-3L/Амортизатор компрессора.jpg
Панель боковая правая белая к концентратору кислорода 7F-1L (для белого),Да,40763,d7c65ab0-bf0a-11e3-9414-f824cb3a06ba,,https://www.armed.ru/images/catalog/zapchasti/konzentratory/7F-1L/Панель боковая правая белая.jpg
Панель боковая левая белая к концентратору кислорода 7F-1L (для белого),Да,40767,5c17b58e-c15b-11e3-9415-fd45b74dc5cf,,https://www.armed.ru/images/catalog/zapchasti/konzentratory/7F-1L/Панель боковая левая белая.jpg
Крышка верхняя белая к концентратору кислорода 7F-1L (для белого),Да,40771,fed2f2b1-c15e-11e3-9415-fd45b74dc5cf,,
Амортизатор компрессора к концентратору кислорода 7F-1L,Да,40772,66bd896a-c15f-11e3-9415-fd45b74dc5cf,,
"Блок запорных клапанов, арт BZK-3A",Да,40773,223b4e15-c167-11e3-9415-fd45b74dc5cf,,https://www.armed.ru/images/catalog/zapchasti/konzentratory/7F-3A/DSCF9816.jpg
левый редуктор в сборе FS108,Да,40774,081277a7-c940-11e3-941c-b8ca3aeddcd6,,
Колесо переднее к коляске FS123GC-43,Да,40775,458631c7-c956-11e3-941c-b8ca3aeddcd6,,
Колесо заднее к коляске FS123GC-43,Да,40776,691efe67-d5e8-11e3-941c-b8ca3aeddcd6,,https://www.armed.ru/images/catalog/zapchasti/Технические средства реабилитации/коляски/FS123GC-43/колесо заднее к FS123 GC-43.jpg
"Концентратор кислорода ""Armed"" 8F-1",Да,40781,73ebff9f-00e2-11e4-941e-b8ca3aeddcd3,https://www.armed.ru/images/catalog/FOTO mini/white/1/kislorod/Koncentrator/8F-1/8F-1.jpg,https://www.armed.ru/images/catalog/FOTO mini/white/1/kislorod/Koncentrator/8F-1/8F-1.jpg
Купол от светильника L739,Да,40784,48e7ee5e-037b-11e4-941e-b8ca3aeddcd3,,
Микроскоп медицинский для биохимических исследований: XSZ-107,Да,40786,9433414a-1d49-11e4-941e-b8ca3aeddcd3,https://www.armed.ru/images/catalog/FOTO mini/white/1/laboratornoe/mikroskop/XSZ-107/XSZ-107.jpg,https://www.armed.ru/images/catalog/FOTO mini/white/1/laboratornoe/mikroskop/XSZ-107/XSZ-107.jpg
Дождевик для кресла-коляски,Да,40788,b0a0628f-5aa5-11e4-9420-b8ca3aeddcd4,https://www.armed.ru/images/catalog/FOTO mini/white/3/kresla/Dozdevik/Дождевик.jpg,https://www.armed.ru/images/catalog/FOTO mini/white/3/kresla/Dozdevik/Дождевик.jpg
"Концентратор кислорода 7F-3L ""Armed"" (с выходом для ингаляций)",Да,40790,d10b96c2-64f5-11e4-9424-b8ca3aeddcd6,,https://www.armed.ru/images/catalog/FOTO mini/white/1/kislorod/Koncentrator/7F-3L/7F-3L new.jpg
"Лампа ультрафиолетовая ""Armed"" ZW15S19W",Да,40793,cdc87eda-7be2-11e4-9424-b8ca3aeddcd6,,https://www.armed.ru/images/catalog/FOTO mini/white/1/dezinfekciya/ZW15S19W/1.jpg
"Ванна надувная, т.м. ""Armed""",Да,40794,fab06c7f-7be2-11e4-9424-b8ca3aeddcd6,https://www.armed.ru/images/catalog/FOTO mini/white/4/vanna/Untitled1.jpg,https://www.armed.ru/images/catalog/FOTO mini/white/4/vanna/Untitled1.jpg
L 0111 Мяч-кольца тренировочные 7cм,Да,40878,6b363096-b384-11e4-9424-b8ca3aeddcd6,https://www.armed.ru/images/catalog/FOTO mini/white/Atketika/Myachi/L0111/L_0111-2.jpg,https://www.armed.ru/images/catalog/FOTO mini/white/Atketika/Myachi/L0111/L_0111-2.jpg
"O 4001 Бинт полиуретановый, размер:10см*3,6м",Да,40879,77a23991-b384-11e4-9424-b8ca3aeddcd6,,https://www.armed.ru/images/catalog/FOTO mini/white/Atketika/Bint/O 4001.jpg
"O 4001 Бинт полиуретановый, размер:12,5см*3,6м",Да,40880,858b8b84-b384-11e4-9424-b8ca3aeddcd6,,https://www.armed.ru/images/catalog/FOTO mini/white/Atketika/Bint/O 4001.jpg
L 0175b Мяч гимнастический для фитнеса 75см,Да,40881,5f16c74b-b385-11e4-9424-b8ca3aeddcd6,,https://www.armed.ru/images/catalog/FOTO mini/white/Atketika/Myachi/L0175b/01-65-75b.jpg
"L 0207 Балансировочная подушка 7""",Да,40882,8559af38-b385-11e4-9424-b8ca3aeddcd6,,https://www.armed.ru/images/catalog/FOTO mini/white/Atketika/Myachi/L0207/L0207_sd.jpg
L 0350 F Мяч для тренировки кисти 50 мм жесткий синий,Да,40883,aa339f1f-b385-11e4-9424-b8ca3aeddcd6,https://www.armed.ru/images/catalog/FOTO mini/white/Atketika/Myachi/L0350F/L0350F.jpg,https://www.armed.ru/images/catalog/FOTO mini/white/Atketika/Myachi/L0350F/L0350F.jpg
L 0350 М Мяч для тренировки кисти 50 мм полужесткий зеленый,Да,40884,eff3a8ee-b385-11e4-9424-b8ca3aeddcd6,https://www.armed.ru/images/catalog/FOTO mini/white/Atketika/Myachi/L0350M/L0350M.jpg,https://www.armed.ru/images/catalog/FOTO mini/white/Atketika/Myachi/L0350M/L0350M.jpg
ER-1002 Устройство для релаксации (cчеты с зубчатыми валиками для ног),Да,40885,fc694a52-b385-11e4-9424-b8ca3aeddcd6,,https://www.armed.ru/images/catalog/FOTO mini/white/Atketika/Massager/ER1002/ER-1002_2.jpg
ER-1003 Устройство для релаксации (cчеты зубчатые для ног),Да,40886,0cdaf335-b386-11e4-9424-b8ca3aeddcd6,,https://www.armed.ru/images/catalog/FOTO mini/white/Atketika/Massager/ER1003/er1003.jpg
ER-1005 Устройство для релаксации (лента с шариками широкая),Да,40887,20e1adf4-b386-11e4-9424-b8ca3aeddcd6,,https://www.armed.ru/images/catalog/FOTO mini/white/Atketika/Massager/ER1005/er-1005.jpg
L 0350 S Мяч для тренировки кисти 50 мм мягкий оранжевый,Да,40888,2ff05080-b386-11e4-9424-b8ca3aeddcd6,https://www.armed.ru/images/catalog/FOTO mini/white/Atketika/Myachi/L0350S/L0350S.jpg,https://www.armed.ru/images/catalog/FOTO mini/white/Atketika/Myachi/L0350S/L0350S.jpg
ER-1006 Устройство для релаксации (лента с шариками узкая),Да,40889,2ff05085-b386-11e4-9424-b8ca3aeddcd6,,https://www.armed.ru/images/catalog/FOTO mini/white/Atketika/Massager/ER1006/ER-1006.jpg
ER-1014 Устройство для релаксации (лента с шипами узкая),Да,40890,45dff1f4-b386-11e4-9424-b8ca3aeddcd6,,https://www.armed.ru/images/catalog/FOTO mini/white/Atketika/Massager/ER1014/ER-1014++.jpg
L 0435 Подушка воздушная 35 см.,Да,40891,52590168-b386-11e4-9424-b8ca3aeddcd6,,https://www.armed.ru/images/catalog/FOTO mini/white/Atketika/Myachi/L0435/L0435_sd-5.jpg
ER-1017 Устройство для релаксации (счеты с шипами для ног),Да,40892,6bcbd245-b386-11e4-9424-b8ca3aeddcd6,,https://www.armed.ru/images/catalog/FOTO mini/white/Atketika/Massager/ER1017/Без имени-1.jpg
L 0765b Мяч гимнастический для фитнеса с АВС 65см,Да,40893,b5cd0e77-b386-11e4-9424-b8ca3aeddcd6,,https://www.armed.ru/images/catalog/FOTO mini/white/Atketika/Myachi/L0765b/L0765B_sd copy1.jpg
L 0775b Мяч гимнастический для фитнеса c АБС 75см,Да,40894,f4917d6a-b386-11e4-9424-b8ca3aeddcd6,,https://www.armed.ru/images/catalog/FOTO mini/white/Atketika/Myachi/L0775b/img_1076-1.jpg
L 2350b Гимнастический мяч 50см,Да,40895,1dbcb7a1-b387-11e4-9424-b8ca3aeddcd6,,https://www.armed.ru/images/catalog/FOTO mini/white/Atketika/Myachi/L2350b/2350b-к.jpg
L 2355b Гимнастический мяч 55см,Да,40896,3b47f4dc-b387-11e4-9424-b8ca3aeddcd6,,https://www.armed.ru/images/catalog/FOTO mini/white/Atketika/Myachi/L2355b/2355b-с.jpg
"Лифлет ""Рециркуляторы""",Да,52646,a0c5c4a6-52d5-11e4-9420-b8ca3aeddcd4,https://www.armed.ru/images/catalog/FOTO mini/white/Reclama/Liflet recirkulyator/1-Лифлет облучатели-рециркуляторы.jpg,https://www.armed.ru/images/catalog/FOTO mini/white/Reclama/Liflet recirkulyator/1-Лифлет облучатели-рециркуляторы.jpg
113 Колготки компрессионные для беременных (1класс компр.) 18-21мм рт.ст.,Да,40899,5c5b19fe-b8c7-11e4-9424-b8ca3aeddcd6,https://www.armed.ru/images/catalog/FOTO mini/white/Atketika/Trikotag/Kolgotki/113 teleshui/IMG_3113.jpg,https://www.armed.ru/images/catalog/FOTO mini/white/Atketika/Trikotag/Kolgotki/113 teleshui/IMG_3113.jpg
112 Колготки антиварикозные(1класс компр.) 18-21мм рт.ст.(телесные),Да,40900,0e4ac323-b8c9-11e4-9424-b8ca3aeddcd6,https://www.armed.ru/images/catalog/FOTO mini/white/Atketika/Trikotag/Kolgotki/112 telesnui/IMG_2859.jpg,https://www.armed.ru/images/catalog/FOTO mini/white/Atketika/Trikotag/Kolgotki/112 telesnui/IMG_2859.jpg
121 Колготки антиварикозные(2класс компр.) 23-32мм рт.ст. (телесные),Да,40901,43d697cc-b8ca-11e4-9424-b8ca3aeddcd6,https://www.armed.ru/images/catalog/FOTO mini/white/Atketika/Trikotag/Kolgotki/121 telesnui/IMG_2859.jpg,https://www.armed.ru/images/catalog/FOTO mini/white/Atketika/Trikotag/Kolgotki/121 telesnui/IMG_2859.jpg
211 Чулки антиварикозные (1класс компр.) 18-21мм рт.ст (телесные),Да,40902,6c33a4da-b8cb-11e4-9424-b8ca3aeddcd6,https://www.armed.ru/images/catalog/FOTO mini/white/Atketika/Trikotag/Chulki/211 telesnui/IMG_3255.jpg,https://www.armed.ru/images/catalog/FOTO mini/white/Atketika/Trikotag/Chulki/211 telesnui/IMG_3255.jpg
227 Чулки антиэмболические 25 мм рт.ст,Да,40903,859e16de-b8cc-11e4-9424-b8ca3aeddcd6,,https://www.armed.ru/images/catalog/FOTO mini/white/Atketika/Trikotag/Chulki/227/227_osn.jpg
221 Чулки антиварикозные (2класс компр.) 23-32мм рт.ст. (телесные),Да,40904,3d77eb49-b8cd-11e4-9424-b8ca3aeddcd6,https://www.armed.ru/images/catalog/FOTO mini/white/Atketika/Trikotag/Chulki/221 telesnui/IMG_3255.jpg,https://www.armed.ru/images/catalog/FOTO mini/white/Atketika/Trikotag/Chulki/221 telesnui/IMG_3255.jpg
221 Чулки антиварикозные (2класс компр.) 23-32мм рт.ст. (черные),Да,40905,8282d8fa-b8ce-11e4-9424-b8ca3aeddcd6,https://www.armed.ru/images/catalog/FOTO mini/white/Atketika/Trikotag/Chulki/221 chernui/IMG_3318.jpg,https://www.armed.ru/images/catalog/FOTO mini/white/Atketika/Trikotag/Chulki/227/227_osn.jpg
311 Гольфы женские антиварикоз.(1класс компр.) 18-22 мм рт.ст. (телесные),Да,40906,0736f574-b8cf-11e4-9424-b8ca3aeddcd6,https://www.armed.ru/images/catalog/FOTO mini/white/Atketika/Trikotag/Golfu/311 telesnui/IMG_3077.jpg,https://www.armed.ru/images/catalog/FOTO mini/white/Atketika/Trikotag/Golfu/311 telesnui/IMG_3077.jpg
102 Колготки антиварикозные 15-18мм рт.ст.,Да,40898,56fecdfb-b8c5-11e4-9424-b8ca3aeddcd6,,https://www.armed.ru/images/catalog/FOTO mini/white/Atketika/Trikotag/Kolgotki/102 telesnui/102_osn.jpg
"Сиденье для туалетной комнаты неповоротное ""Armed"": FS",Да,40911,b83813ad-bccd-11e4-9424-b8ca3aeddcd6,,https://www.armed.ru/images/catalog/FOTO mini/white/4/sideniya/FS nepovorotnoe/Неповоротное_FS_0008.jpg
"Магнитная мешалка лабораторная ""Armed"" 85-1",Да,40917,0824fba9-d46f-11e4-9424-b8ca3aeddcd6,https://www.armed.ru/images/catalog/FOTO mini/white/1/laboratornoe/meshalki i smesiteli/85-1/85-1_.jpg,https://www.armed.ru/images/catalog/FOTO mini/white/1/laboratornoe/meshalki i smesiteli/85-1/85-1_.jpg
"Магнитная мешалка лабораторная ""Armed"" CJ881",Да,40918,116e8c71-d46f-11e4-9424-b8ca3aeddcd6,https://www.armed.ru/images/catalog/FOTO mini/white/1/laboratornoe/meshalki i smesiteli/CJ881/CJ881.jpg,https://www.armed.ru/images/catalog/FOTO mini/white/1/laboratornoe/meshalki i smesiteli/CJ881/CJ881.jpg
"Магнитная мешалка с керамической поверхностью ""Armed"" MHS-C",Да,40919,1ab0f380-d46f-11e4-9424-b8ca3aeddcd6,https://www.armed.ru/images/catalog/FOTO mini/white/1/laboratornoe/meshalki i smesiteli/MHS-C/MHS-C главное.jpg,https://www.armed.ru/images/catalog/FOTO mini/white/1/laboratornoe/meshalki i smesiteli/MHS-C/MHS-C главное.jpg
"Верхнеприводная мешалка ""Armed"" JJ-1",Да,40920,23d67ade-d46f-11e4-9424-b8ca3aeddcd6,https://www.armed.ru/images/catalog/FOTO mini/white/1/laboratornoe/meshalki i smesiteli/JJ-1/JJ-1.jpg,https://www.armed.ru/images/catalog/FOTO mini/white/1/laboratornoe/meshalki i smesiteli/JJ-1/JJ-1_.jpg
"Смеситель лабораторный вортекс ""Armed"" XH-C",Да,40921,30574dca-d46f-11e4-9424-b8ca3aeddcd6,https://www.armed.ru/images/catalog/FOTO mini/white/1/laboratornoe/meshalki i smesiteli/XH-C/XH-C.jpg,https://www.armed.ru/images/catalog/FOTO mini/white/1/laboratornoe/meshalki i smesiteli/XH-C/XH-C.jpg
"Шейкер горизонтальный ""Armed"" HY-2B",Да,40922,4d300736-d46f-11e4-9424-b8ca3aeddcd6,https://www.armed.ru/images/catalog/FOTO mini/white/1/laboratornoe/meshalki i smesiteli/HY-2B/HY-2B.jpg,https://www.armed.ru/images/catalog/FOTO mini/white/1/laboratornoe/meshalki i smesiteli/HY-2B/HY-2B.jpg
"Шейкер орбитальный ""Armed"" HY-5",Да,40923,5647d112-d46f-11e4-9424-b8ca3aeddcd6,https://www.armed.ru/images/catalog/FOTO mini/white/1/laboratornoe/meshalki i smesiteli/HY-5/Hy-5 готова.jpg,https://www.armed.ru/images/catalog/FOTO mini/white/1/laboratornoe/meshalki i smesiteli/HY-5/Hy-5 готова.jpg
"Центрифуга медицинская лабораторная ""Armed: CH90-1S",Да,40924,64353ad0-d46f-11e4-9424-b8ca3aeddcd6,https://www.armed.ru/images/catalog/FOTO mini/white/1/laboratornoe/centrifugi/CH90-1S/CH90-1S.jpg,https://www.armed.ru/images/catalog/FOTO mini/white/1/laboratornoe/centrifugi/CH90-1S/CH90-1S.jpg
"Нагревательная лабораторная плита ""Armed"" DB-2",Да,40925,72e1335c-d46f-11e4-9424-b8ca3aeddcd6,https://www.armed.ru/images/catalog/FOTO mini/white/1/laboratornoe/plita/DB-2/DB-2.jpg,https://www.armed.ru/images/catalog/FOTO mini/white/1/laboratornoe/plita/DB-2/DB-2.jpg
"К-800 Подушка ортопедическая для младенцев ""КОМФ-ОРТ""",Да,40935,9cf8f518-d928-11e4-9424-b8ca3aeddcd6,https://www.armed.ru/images/catalog/FOTO mini/white/Atketika/Podyshki/K-800 mlad/К-800-2.jpg,https://www.armed.ru/images/catalog/FOTO mini/white/Atketika/Podyshki/K-800 mlad/К-800-2.jpg
"К-800 Подушка для сна анатомическая с памятью""КОМФ-ОРТ""",Да,40936,b5378ffd-d928-11e4-9424-b8ca3aeddcd6,https://www.armed.ru/images/catalog/FOTO mini/white/Atketika/Podyshki/K-800/K-800.jpg,https://www.armed.ru/images/catalog/FOTO mini/white/Atketika/Podyshki/K-800/K-800.jpg
"К-80-03 Бандаж шейного отдела, мягкий",Да,40951,b3a1da1b-ff95-11e4-9424-b8ca3aeddcd6,,https://www.armed.ru/images/catalog/FOTO mini/white/Atketika/Ortez/K-80-03/K-80-03-3_osn.jpg
"К-80-04 Бандаж шейного отдела, мягкий",Да,40952,c67223d4-ff95-11e4-9424-b8ca3aeddcd6,,https://www.armed.ru/images/catalog/FOTO mini/white/Atketika/Ortez/K-80-04/K-80-04-3_osn.jpg
"К-80-05 Бандаж шейного отдела, мягкий",Да,40953,dfaaaac5-ff96-11e4-9424-b8ca3aeddcd6,,https://www.armed.ru/images/catalog/FOTO mini/white/Atketika/Ortez/K-80-05/K-80-05-3_osn.jpg
С 3012 Отводящий корректор первого пальца стопы ночной,Да,40967,3c8fa3e0-14be-11e5-9424-b8ca3aeddcd6,,https://www.armed.ru/images/catalog/FOTO mini/white/Atketika/Ortez/C-3012/с3012_osn.jpg
Комплект торцевых спинок,Да,40976,69875011-14db-11e5-9424-b8ca3aeddcd6,,https://www.armed.ru/images/catalog/FOTO mini/2/soputstvyushie/ZE-01B/DSC_6377.jpg
К-617 Бандаж хирургический послеоперационный,Да,40984,c6b70daf-1586-11e5-9424-b8ca3aeddcd6,,https://www.armed.ru/images/catalog/FOTO mini/white/Atketika/Ortez/K-617/К-617_osn.jpg
С 2704 Силиконовая объемная межпальцевая перегородка,Да,40988,574e2d8e-1591-11e5-9424-b8ca3aeddcd6,,https://www.armed.ru/images/catalog/FOTO mini/white/Atketika/Ortez/C-2704/С 2704.jpg
Ступенька СТ: с ручкой,Да,40989,e11e71b0-1a63-11e5-9424-b8ca3aeddcd6,https://www.armed.ru/images/catalog/FOTO mini/white/4/stupenki/ST s rychkoi/СТ_с_руч_0002.jpg,https://www.armed.ru/images/catalog/FOTO mini/white/4/stupenki/ST s rychkoi/СТ_с_руч_0002.jpg
Ступенька СТ: без ручки,Да,40990,f8d69e59-1a63-11e5-9424-b8ca3aeddcd6,https://www.armed.ru/images/catalog/FOTO mini/white/4/stupenki/ST bez rychki/CT_бр.jpg,https://www.armed.ru/images/catalog/FOTO mini/white/4/stupenki/ST bez rychki/CT_бр.jpg
"Центрифуга медицинская лабораторная ""Armed"" 80-2",Да,40994,0093d559-26e7-11e5-9424-b8ca3aeddcd6,https://www.armed.ru/images/catalog/FOTO mini/white/1/laboratornoe/centrifugi/80-2/80-2.jpg,https://www.armed.ru/images/catalog/FOTO mini/white/1/laboratornoe/centrifugi/80-2/80-2.jpg
"Матрац четырехсекционный с отверстием, с чехлом из водоотталкивающей ткани, Торговой марки ""Armed""",Да,40997,e70c2595-2f9c-11e5-9424-b8ca3aeddcd6,https://www.armed.ru/images/catalog/FOTO mini/white/2/Matras/4 sekcionniu s otverstiem/Матрац 4 с отверстием .jpg,https://www.armed.ru/images/catalog/FOTO mini/white/2/Matras/4 sekcionniu s otverstiem/Матрац 4 с отверстием .jpg
К-804 Подушка-матрац для ног,Да,40998,f9fa8534-3057-11e5-9424-b8ca3aeddcd6,,https://www.armed.ru/images/catalog/FOTO mini/white/Atketika/Podyshki/K-804 dlya nog/K-804_osn.jpg
"Изделие мебельное: сиденье для ванной ""Armed"": FS7933S",Да,41001,6a96cf6c-31f9-11e5-9424-b8ca3aeddcd6,https://www.armed.ru/images/catalog/FOTO mini/white/4/tabyret/FS7933S/DSC_7213.jpg,https://www.armed.ru/images/catalog/FOTO mini/white/4/tabyret/FS7933S/DSC_7213.jpg
Подставка под пульсоксиметр вращающаяся,Да,41002,ada96b97-31f9-11e5-9424-b8ca3aeddcd6,,https://www.armed.ru/images/catalog/FOTO mini/white/5/Podstavka puls vraschayuschayasya/DSC_0370.jpg
Подставка под пульсоксиметр наклонная,Да,41003,c94160de-31f9-11e5-9424-b8ca3aeddcd6,,https://www.armed.ru/images/catalog/FOTO mini/white/5/Podstavka puls naklonnaya/naklonnaya.jpg
Подставка под тонометры,Да,41004,d09a3016-31f9-11e5-9424-b8ca3aeddcd6,,https://www.armed.ru/images/catalog/FOTO mini/white/5/Podstavlka tonometr/DSC_0316.jpg
"Концентратор кислорода ""Armed"" 7F-10L",Да,41014,9b8d93e5-35ca-11e5-9424-b8ca3aeddcd6,https://www.armed.ru/images/catalog/FOTO mini/white/1/kislorod/Koncentrator/7F-10L/7F-10L.jpg,https://www.armed.ru/images/catalog/FOTO mini/white/1/kislorod/Koncentrator/7F-10L/7F-10L.jpg
"Матрас ""Eksot""",Да,41021,eafc94f2-4c8d-11e5-9425-b8ca3aeddcd6,https://www.armed.ru/images/catalog/FOTO mini/white/4/matras/Eksot/Матрас Eksot.jpg,https://www.armed.ru/images/catalog/FOTO mini/white/4/matras/Eksot/Матрас Eksot.jpg
Кушетка для массажа серии Мастер,Да,41023,532f1c99-5aed-11e5-9425-b8ca3aeddcd6,https://www.armed.ru/images/catalog/FOTO mini/white/2/Massagnui stol/Master/МАСТЕР.jpg,https://www.armed.ru/images/catalog/FOTO mini/white/2/Massagnui stol/Master/МАСТЕР.jpg
Кресло-коляска для инвалидов электрическая «Armed»: FS101A,Да,41024,5b4188fa-5bb7-11e5-9425-b8ca3aeddcd6,https://www.armed.ru/images/catalog/FOTO mini/white/3/kresla/FS101A/101.jpg,https://www.armed.ru/images/catalog/FOTO mini/white/3/kresla/FS101A/101.jpg
"Ступенька СТ-1 (двойная, с ручкой)",Да,42500,cea081ae-2571-11e5-9424-b8ca3aeddcd6,,https://www.armed.ru/images/catalog/FOTO mini/white/4/stupenki/ST-1 s rychkoi/ST-1_ruchka_osn.jpg
"Cтолик надкроватный ZE08-D, т.м. ""Armed""",Да,54046,d718a2e7-14f7-11e5-9424-b8ca3aeddcd6,,https://www.armed.ru/images/catalog/FOTO mini/white/2/Sopyt tovar/ZE08-D/ZE08-D.jpg
Баня водяная DK420,Да,40913,bde6f03d-d46e-11e4-9424-b8ca3aeddcd6,https://www.armed.ru/images/catalog/FOTO mini/white/1/laboratornoe/vodyanaya banya/DK420/DK420.jpg,https://www.armed.ru/images/catalog/FOTO mini/white/1/laboratornoe/vodyanaya banya/DK420/DK420.jpg
Баня водяная WH-4C,Да,40914,dda44145-d46e-11e4-9424-b8ca3aeddcd6,https://www.armed.ru/images/catalog/FOTO mini/white/1/laboratornoe/vodyanaya banya/WH-4C/WH-4C.jpg,https://www.armed.ru/images/catalog/FOTO mini/white/1/laboratornoe/vodyanaya banya/WH-4C/WH-4C.jpg
Баня водяная HH-S2,Да,40915,ee55757f-d46e-11e4-9424-b8ca3aeddcd6,https://www.armed.ru/images/catalog/FOTO mini/white/1/laboratornoe/vodyanaya banya/HH-S2/баня водяная HH-S2.jpg,https://www.armed.ru/images/catalog/FOTO mini/white/1/laboratornoe/vodyanaya banya/HH-S2/баня водяная HH-S2.jpg
Баня водяная HH-S4,Да,40916,f902c905-d46e-11e4-9424-b8ca3aeddcd6,https://www.armed.ru/images/catalog/FOTO mini/white/1/laboratornoe/vodyanaya banya/HH-S4/Hh-s4.jpg,https://www.armed.ru/images/catalog/FOTO mini/white/1/laboratornoe/vodyanaya banya/HH-S4/Hh-s4.jpg
К-604ш Бандаж послеоперационный,Да,40950,8e1fe5fd-ff8c-11e4-9424-b8ca3aeddcd6,,https://www.armed.ru/images/catalog/FOTO mini/white/Atketika/Ortez/K-604ш/K-604ш.jpg
K-600 Бандаж противогрыжевой,Да,40981,7493c792-1581-11e5-9424-b8ca3aeddcd6,,https://www.armed.ru/images/catalog/FOTO mini/white/Atketika/Ortez/K-600/K600.jpg
К-604 Бандаж послеоперационный,Да,40982,26c60dca-1585-11e5-9424-b8ca3aeddcd6,,https://www.armed.ru/images/catalog/FOTO mini/white/Atketika/Ortez/K-604/K604.jpg
К-616 Бандаж хирургический послеоперационный,Да,40983,31089626-1586-11e5-9424-b8ca3aeddcd6,,https://www.armed.ru/images/catalog/FOTO mini/white/Atketika/Ortez/K-616/К-616_osn.jpg
К-610 Корсет противорадикулитный согревающий,Да,40985,b4800c01-158f-11e5-9424-b8ca3aeddcd6,,https://www.armed.ru/images/catalog/FOTO mini/white/Atketika/Ortez/K-610/К-610_osn.jpg
К-611 Корсет противорадикулитный согревающий,Да,40986,3f97d796-1590-11e5-9424-b8ca3aeddcd6,,https://www.armed.ru/images/catalog/FOTO mini/white/Atketika/Ortez/K-611/К-611_osn.jpg
"К-612 Корсет согревающий, овечья шерсть",Да,40987,c568a392-1590-11e5-9424-b8ca3aeddcd6,,https://www.armed.ru/images/catalog/FOTO mini/white/Atketika/Ortez/K-612/K612.jpg
К-500 фиксатор осанки,Да,41007,d3399286-3506-11e5-9424-b8ca3aeddcd6,,https://www.armed.ru/images/catalog/FOTO mini/white/Atketika/Ortez/K-500/К-500.jpg
К-504 Фиксатор осанки,Да,41008,559e3121-3508-11e5-9424-b8ca3aeddcd6,,https://www.armed.ru/images/catalog/FOTO mini/white/Atketika/Ortez/K-504/К-504.jpg
К-605Ш Бандаж послеоперационный,Да,41009,db663981-3509-11e5-9424-b8ca3aeddcd6,,https://www.armed.ru/images/catalog/FOTO mini/white/Atketika/Ortez/K-605Ш/K605Ш.jpg
К-605 Бандаж послеоперационный,Да,41010,b6c58fac-3511-11e5-9424-b8ca3aeddcd6,,https://www.armed.ru/images/catalog/FOTO mini/white/Atketika/Ortez/K-605/K605.jpg
